1.00000000,4.00000000
0.98540000,3.92190000
0.96390000,3.88400000
0.93950000,3.85020000
0.91120000,3.82490000
0.88390000,3.79540000
0.85760000,3.77000000
0.82830000,3.74050000
0.80290000,3.70680000
0.76980000,3.68140000
0.73950000,3.64350000
0.71020000,3.60970000
0.67710000,3.58440000
0.64590000,3.55490000
0.61560000,3.52110000
0.58630000,3.49160000
0.55710000,3.46200000
0.52490000,3.43250000
0.49270000,3.40300000
0.46150000,3.37340000
0.42340000,3.33970000
0.38730000,3.31430000
0.35510000,3.28900000
0.32390000,3.26370000
0.28780000,3.23420000
0.25370000,3.20040000
0.22050000,3.16670000
0.18630000,3.12450000
0.15220000,3.06960000
0.12200000,3.01900000
0.08980000,2.94300000
0.06440000,2.86290000
0.04590000,2.77430000
0.02830000,2.67720000
0.01760000,2.59700000
0.00780000,2.52110000
0.00000000,2.50000000
